# Rx Ry Ux Uy V type rho 
1.24167e-05 1.24167e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.225e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.20833e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.24167e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.225e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.20833e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.24167e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.225e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.20833e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.19167e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.175e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.15833e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.19167e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.175e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.15833e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.19167e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.175e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.15833e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.14167e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.125e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.10833e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.14167e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.125e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.10833e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.14167e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.125e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.10833e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.09167e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.075e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.05833e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.09167e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.075e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.05833e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.09167e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.075e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.05833e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.04167e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.025e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 1.00833e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.04167e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.025e-05 0 0 2.7776e-14 0 1000 
1.225e-05 1.00833e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.04167e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.025e-05 0 0 2.7776e-14 0 1000 
1.20833e-05 1.00833e-05 0 0 2.7776e-14 0 1000 
1.24167e-05 9.91667e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 9.75e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 9.58333e-06 0 0 2.7776e-14 0 1000 
1.225e-05 9.91667e-06 0 0 2.7776e-14 0 1000 
1.225e-05 9.75e-06 0 0 2.7776e-14 0 1000 
1.225e-05 9.58333e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 9.91667e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 9.75e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 9.58333e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 9.41667e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 9.25e-06 0 0 2.7776e-14 0 1000 
1.24167e-05 9.08333e-06 0 0 2.7776e-14 0 1000 
1.225e-05 9.41667e-06 0 0 2.7776e-14 0 1000 
1.225e-05 9.25e-06 0 0 2.7776e-14 0 1000 
1.225e-05 9.08333e-06 0 0 2.7776e-14 0 1000 
1.20833e-05 9.41667e-06 0 0 2.7776e-14 0 1000 
