extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.4875 0.00142908 
0.4625 0.00369617 
0.4375 0.00546027 
0.4125 0.00680623 
0.3875 0.00781238 
0.3625 0.00854878 
0.3375 0.00907618 
0.3125 0.00944559 
0.2875 0.00969852 
0.2625 0.00986775 
0.2375 0.00997836 
0.2125 0.010049 
0.1875 0.010093 
0.1625 0.0101198 
0.1375 0.0101357 
0.1125 0.0101449 
0.0875 0.0101501 
0.0625 0.0101529 
0.0375 0.0101544 
0.0125 0.010155 
-0.0125 0.010155 
-0.0375 0.0101544 
-0.0625 0.0101529 
-0.0875 0.0101501 
-0.1125 0.0101449 
-0.1375 0.0101357 
-0.1625 0.0101198 
-0.1875 0.010093 
-0.2125 0.010049 
-0.2375 0.00997836 
-0.2625 0.00986775 
-0.2875 0.00969852 
-0.3125 0.00944559 
-0.3375 0.00907618 
-0.3625 0.00854878 
-0.3875 0.00781238 
-0.4125 0.00680623 
-0.4375 0.00546027 
-0.4625 0.00369617 
-0.4875 0.00142908 
