extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.4875 0.00856444 
0.4625 0.0165144 
0.4375 0.0238741 
0.4375 0.0238741 
0.4125 0.0306682 
0.4125 0.0306682 
0.3875 0.0369206 
0.3625 0.0426547 
0.3375 0.0478933 
0.3125 0.052658 
0.3125 0.052658 
0.2875 0.0569698 
0.2625 0.0608484 
0.2375 0.0643122 
0.2375 0.0643122 
0.2125 0.0673784 
0.2125 0.0673784 
0.1875 0.0700628 
0.1875 0.0700628 
0.1625 0.0723796 
0.1625 0.0723796 
0.1375 0.0743414 
0.1375 0.0743414 
0.1125 0.0759592 
0.1125 0.0759592 
0.0874999 0.0772423 
0.0874999 0.0772423 
0.0624999 0.0781979 
0.0374999 0.0788319 
0.0125 0.079148 
-0.0125 0.079148 
-0.0374999 0.0788319 
-0.0624999 0.0781979 
-0.0874999 0.0772423 
-0.0874999 0.0772423 
-0.1125 0.0759592 
-0.1125 0.0759592 
-0.1375 0.0743414 
-0.1375 0.0743414 
-0.1625 0.0723796 
-0.1625 0.0723796 
-0.1875 0.0700628 
-0.1875 0.0700628 
-0.2125 0.0673784 
-0.2125 0.0673784 
-0.2375 0.0643122 
-0.2375 0.0643122 
-0.2625 0.0608484 
-0.2625 0.0608484 
-0.2875 0.0569698 
-0.2875 0.0569698 
-0.3125 0.052658 
-0.3125 0.052658 
-0.3375 0.0478933 
-0.3375 0.0478933 
-0.3625 0.0426547 
-0.3625 0.0426547 
-0.3875 0.0369206 
-0.3875 0.0369206 
-0.4125 0.0306682 
-0.4125 0.0306682 
-0.4375 0.0238741 
-0.4375 0.0238741 
-0.4625 0.0165144 
-0.4625 0.0165144 
-0.4875 0.00856444 
-0.4875 0.00856445 
