extracted simu data (only one row of particles
file structure:
  x  |  T  

0.9875 0.0244625 
0.9625 0.0489232 
0.9375 0.0733807 
0.9125 0.0978332 
0.8875 0.122279 
0.8625 0.146718 
0.8375 0.171147 
0.8125 0.195567 
0.7875 0.219977 
0.7625 0.244375 
0.7375 0.268763 
0.7125 0.293139 
0.6875 0.317505 
0.6625 0.341861 
0.6375 0.366207 
0.6125 0.390545 
0.5875 0.414876 
0.5625 0.439201 
0.5375 0.463522 
0.5125 0.487841 
0.4875 0.512159 
0.4625 0.536478 
0.4375 0.560799 
0.4125 0.585124 
0.3875 0.609455 
0.3625 0.633793 
0.3375 0.658139 
0.3125 0.682495 
0.2875 0.706861 
0.2625 0.731237 
0.2375 0.755625 
0.2125 0.780023 
0.1875 0.804433 
0.1625 0.828853 
0.1375 0.853282 
0.1125 0.877721 
0.0875 0.902167 
0.0625 0.926619 
0.0375 0.951077 
0.0125 0.975538 
