extracted simu data (only one row of particles
file structure:
  x  |  T  

0.9875 1 
0.9625 1 
0.9375 1 
0.9125 1 
0.8875 1 
0.8625 1 
0.8375 1 
0.8125 1 
0.7875 0.999998 
0.7625 0.999986 
0.7375 0.999922 
0.7125 0.999638 
0.6875 0.998565 
0.6625 0.995112 
0.6375 0.985622 
0.6125 0.963285 
0.5875 0.918219 
0.5625 0.840308 
0.5375 0.724985 
0.5125 0.578982 
0.4875 0.421018 
0.4625 0.275015 
0.4375 0.159692 
0.4125 0.081781 
0.3875 0.0367151 
0.3625 0.0143776 
0.3375 0.00488807 
0.3125 0.00143545 
0.2875 0.00036191 
0.2625 7.77369e-05 
0.2375 1.40828e-05 
0.2125 2.12305e-06 
0.1875 2.61569e-07 
0.1625 2.56911e-08 
0.1375 1.94273e-09 
0.1125 1.07535e-10 
0.0875 4.03769e-12 
0.0625 9.10521e-14 
0.0375 9.9449e-16 
0.0125 3.25906e-18 
