pert 	L1_rho	L1_u	L1e	L2_rho	L2_u	L2e	Linf_rho	Linf_u	Linf_e	L1_rho3	L1_u3	L1e3	L2_rho3	L2_u3	L2e3	Linf_rho3	Linf_u3	Linf_e3	L1_rho2	L1_u2	L1e2	L2_rho2	L2_u2	L2e2	Linf_rho2	Linf_u2	Linf_e2
																											

0.000000	0.006510	0.015639	0.010356	0.011947	0.061711	0.034969	0.062266	0.663364	0.323044	0.005698	0.011027	0.006644	0.007806	0.016838	0.008488	0.019146	0.048125	0.019491	0.002257	0.005881	0.007623	0.002555	0.009163	0.011677	0.005128	0.025804	0.030214
0.050000	0.006684	0.016204	0.010587	0.012309	0.062379	0.035383	0.066865	0.670469	0.333836	0.005069	0.008916	0.006431	0.006526	0.013028	0.008115	0.015758	0.035773	0.018519	0.002936	0.009523	0.008478	0.003344	0.013398	0.011875	0.006423	0.040558	0.031333
0.100000	0.007131	0.017071	0.011367	0.012724	0.065484	0.036104	0.068876	0.692704	0.332612	0.006291	0.012380	0.007471	0.007405	0.015724	0.008894	0.015335	0.039068	0.019838	0.003923	0.010000	0.010983	0.004262	0.013587	0.014637	0.007342	0.038954	0.033613
0.150000	0.007530	0.018087	0.012115	0.012722	0.066338	0.037405	0.071058	0.702423	0.348795	0.008017	0.017372	0.008666	0.008921	0.020071	0.010023	0.017440	0.042310	0.021782	0.005792	0.012227	0.014244	0.006029	0.014443	0.018278	0.009640	0.030388	0.046396
0.200000	0.007983	0.019486	0.012514	0.012810	0.069693	0.035489	0.070654	0.727635	0.299270	0.009530	0.021792	0.009820	0.010301	0.024355	0.011137	0.018006	0.050299	0.022622	0.007009	0.013937	0.017252	0.007282	0.015984	0.022993	0.010394	0.029377	0.061292
0.250000	0.008469	0.020389	0.013643	0.013454	0.072156	0.039683	0.075389	0.751295	0.361812	0.011072	0.026055	0.010847	0.011657	0.027411	0.012136	0.018330	0.047562	0.023708	0.008504	0.013664	0.021530	0.008810	0.015958	0.026766	0.013028	0.032942	0.064516
0.300000	0.009181	0.022705	0.014183	0.014120	0.076508	0.041511	0.079067	0.785672	0.386207	0.012908	0.031196	0.011745	0.013480	0.032886	0.012802	0.019282	0.052675	0.023466	0.011019	0.021320	0.023499	0.011208	0.023941	0.029867	0.014509	0.046279	0.064007

