extracted simu data (only one row of particles
file structure:
  x  |  T  

0.9875 0.303197 
0.9625 0.564378 
0.9375 0.758117 
0.9125 0.881764 
0.8875 0.949544 
0.8625 0.981367 
0.8375 0.994105 
0.8125 0.998422 
0.7875 0.999648 
0.7625 0.999928 
0.7375 0.999935 
0.7125 0.999703 
0.6875 0.998718 
0.6625 0.995387 
0.6375 0.98598 
0.6125 0.963564 
0.5875 0.9182 
0.5625 0.839918 
0.5375 0.72446 
0.5125 0.578737 
0.4875 0.421263 
0.4625 0.27554 
0.4375 0.160082 
0.4125 0.0818002 
0.3875 0.0364359 
0.3625 0.0140199 
0.3375 0.0046131 
0.3125 0.00128193 
0.2875 0.000296881 
0.2625 6.45546e-05 
0.2375 7.18289e-05 
0.2125 0.00035229 
0.1875 0.00157784 
0.1625 0.00589496 
0.1375 0.018633 
0.1125 0.0504558 
0.0875 0.118236 
0.0625 0.241883 
0.0375 0.435622 
0.0125 0.696803 
