extracted simu data (only one row of particles
file structure:
  x  |  T  

0.9875 1 
0.9625 1 
0.9375 1 
0.9125 1 
0.8875 1 
0.8625 1 
0.8375 1 
0.8125 1 
0.7875 1 
0.7625 1 
0.7375 1 
0.7125 0.999993 
0.6875 0.999933 
0.6625 0.999509 
0.6375 0.997317 
0.6125 0.988641 
0.5875 0.961968 
0.5625 0.897848 
0.5375 0.777262 
0.5125 0.600491 
0.4875 0.399509 
0.4625 0.222738 
0.4375 0.102152 
0.4125 0.0380324 
0.3875 0.0113591 
0.3625 0.00268278 
0.3375 0.000490856 
0.3125 6.74174e-05 
0.2875 6.60926e-06 
0.2625 4.24821e-07 
0.2375 1.53441e-08 
0.2125 2.27547e-10 
0.1875 5.56913e-13 
0.1625 1.96421e-42 
0.1375 1.5821e-72 
0.1125 5.12869e-103 
0.0875 7.73202e-134 
0.0625 5.08404e-165 
0.0375 2.40101e-196 
0.0125 2.8074e-228 
