extracted simu data (only one row of particles
file structure:
  x  |  T  

0.9875 1 
0.9625 1 
0.9375 1 
0.9125 1 
0.8875 1 
0.8625 1 
0.8375 1 
0.8125 1 
0.7875 1 
0.7625 1 
0.7375 1 
0.7125 0.999998 
0.6875 0.999965 
0.6625 0.999641 
0.6375 0.997663 
0.6125 0.989206 
0.5875 0.962408 
0.5625 0.897622 
0.5375 0.776426 
0.5125 0.599995 
0.4875 0.400005 
0.4625 0.223574 
0.4375 0.102378 
0.4125 0.0375925 
0.3875 0.0107938 
0.3625 0.00233678 
0.3375 0.000359417 
0.3125 3.51089e-05 
0.2875 1.70905e-06 
0.2625 2.41173e-08 
0.2375 8.00571e-38 
0.2125 4.33399e-68 
0.1875 1.23568e-98 
0.1625 2.06656e-129 
0.1375 2.20166e-160 
0.1125 4.68795e-192 
0.0875 0 
0.0625 0 
0.0375 0 
0.0125 0 
