extracted simu data (only one row of particles
file structure:
  x  |  T  

0.9975 1 
0.9925 1 
0.9875 1 
0.9825 1 
0.9775 1 
0.9725 1 
0.9675 1 
0.9625 1 
0.9575 1 
0.9525 1 
0.9475 1 
0.9425 1 
0.9375 1 
0.9325 1 
0.9275 1 
0.9225 1 
0.9175 1 
0.9125 1 
0.9075 1 
0.9025 1 
0.8975 1 
0.8925 1 
0.8875 1 
0.8825 1 
0.8775 1 
0.8725 1 
0.8675 1 
0.8625 1 
0.8575 1 
0.8525 1 
0.8475 1 
0.8425 1 
0.8375 1 
0.8325 1 
0.8275 1 
0.8225 1 
0.8175 1 
0.8125 1 
0.8075 1 
0.8025 1 
0.7975 1 
0.7925 1 
0.7875 1 
0.7825 1 
0.7775 1 
0.7725 1 
0.7675 1 
0.7625 1 
0.7575 1 
0.7525 1 
0.7475 1 
0.7425 1 
0.7375 1 
0.7325 1 
0.7275 1 
0.7225 1 
0.7175 1 
0.7125 1 
0.7075 1 
0.7025 1 
0.6975 1 
0.6925 1 
0.6875 1 
0.6825 1 
0.6775 1 
0.6725 1 
0.6675 1 
0.6625 1 
0.6575 1 
0.6525 1 
0.6475 1 
0.6425 1 
0.6375 1 
0.6325 1 
0.6275 1 
0.6225 1 
0.6175 1 
0.6125 1 
0.6075 1 
0.6025 1 
0.5975 1 
0.5925 1 
0.5875 1 
0.5825 1 
0.5775 1 
0.5725 1 
0.5675 0.999999 
0.5625 0.999996 
0.5575 0.999978 
0.5525 0.999903 
0.5475 0.999625 
0.5425 0.998715 
0.5375 0.996096 
0.5325 0.989445 
0.5275 0.974522 
0.5225 0.94493 
0.5175 0.89307 
0.5125 0.812775 
0.5075 0.702995 
0.5025 0.570521 
0.4975 0.429479 
0.4925 0.297005 
0.4875 0.187225 
0.4825 0.10693 
0.4775 0.0550697 
0.4725 0.0254776 
0.4675 0.0105546 
0.4625 0.00390368 
0.4575 0.00128509 
0.4525 0.000375282 
0.4475 9.68323e-05 
0.4425 2.19694e-05 
0.4375 4.3565e-06 
0.4325 7.49373e-07 
0.4275 1.10749e-07 
0.4225 1.38915e-08 
0.4175 1.45565e-09 
0.4125 1.24814e-10 
0.4075 8.51846e-12 
0.4025 4.45589e-13 
0.3975 1.69384e-14 
0.3925 4.32777e-16 
0.3875 6.57928e-18 
0.3825 4.811e-20 
0.3775 1.05327e-22 
0.3725 1.55567e-50 
0.3675 7.35271e-79 
0.3625 1.08599e-107 
0.3575 0 
0.3525 0 
0.3475 0 
0.3425 0 
0.3375 0 
0.3325 0 
0.3275 0 
0.3225 0 
0.3175 0 
0.3125 0 
0.3075 0 
0.3025 0 
0.2975 0 
0.2925 0 
0.2875 0 
0.2825 0 
0.2775 0 
0.2725 0 
0.2675 0 
0.2625 0 
0.2575 0 
0.2525 0 
0.2475 0 
0.2425 0 
0.2375 0 
0.2325 0 
0.2275 0 
0.2225 0 
0.2175 0 
0.2125 0 
0.2075 0 
0.2025 0 
0.1975 0 
0.1925 0 
0.1875 0 
0.1825 0 
0.1775 0 
0.1725 0 
0.1675 0 
0.1625 0 
0.1575 0 
0.1525 0 
0.1475 0 
0.1425 0 
0.1375 0 
0.1325 0 
0.1275 0 
0.1225 0 
0.1175 0 
0.1125 0 
0.1075 0 
0.1025 0 
0.0975 0 
0.0925 0 
0.0875 0 
0.0825 0 
0.0775 0 
0.0725 0 
0.0675 0 
0.0625 0 
0.0575 0 
0.0525 0 
0.0475 0 
0.0425 0 
0.0375 0 
0.0325 0 
0.0275 0 
0.0225 0 
0.0175 0 
0.0125 0 
0.0075 0 
0.0025 0 
