extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.4875 0.000142355 
0.4625 0.000367975 
0.4375 0.000543347 
0.4125 0.000676984 
0.3875 0.00077674 
0.3625 0.000849636 
0.3375 0.000901751 
0.3125 0.000938181 
0.2875 0.000963071 
0.2625 0.000979686 
0.2375 0.000990518 
0.2125 0.000997414 
0.1875 0.0010017 
0.1625 0.0010043 
0.1375 0.00100584 
0.1125 0.00100673 
0.0875 0.00100723 
0.0625 0.0010075 
0.0375 0.00100764 
0.0125 0.0010077 
-0.0125 0.0010077 
-0.0375 0.00100764 
-0.0625 0.0010075 
-0.0875 0.00100723 
-0.1125 0.00100673 
-0.1375 0.00100584 
-0.1625 0.0010043 
-0.1875 0.0010017 
-0.2125 0.000997414 
-0.2375 0.000990518 
-0.2625 0.000979686 
-0.2875 0.000963071 
-0.3125 0.000938181 
-0.3375 0.000901751 
-0.3625 0.000849636 
-0.3875 0.00077674 
-0.4125 0.000676984 
-0.4375 0.000543347 
-0.4625 0.000367975 
-0.4875 0.000142355 
