extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.475 0.000626088 
0.45 0.000887556 
0.425 0.000979533 
0.4 0.0010069 
0.375 0.00101382 
0.35 0.00101531 
0.325 0.00101558 
0.3 0.00101562 
0.275 0.00101562 
0.25 0.00101562 
0.225 0.00101563 
0.2 0.00101563 
0.175 0.00101563 
0.15 0.00101563 
0.125 0.00101563 
0.1 0.00101563 
0.075 0.00101563 
0.05 0.00101563 
0.025 0.00101563 
0 0.00101563 
-0.025 0.00101563 
-0.05 0.00101563 
-0.075 0.00101563 
-0.1 0.00101563 
-0.125 0.00101563 
-0.15 0.00101563 
-0.175 0.00101563 
-0.2 0.00101563 
-0.225 0.00101563 
-0.25 0.00101562 
-0.275 0.00101562 
-0.3 0.00101562 
-0.325 0.00101558 
-0.35 0.00101531 
-0.375 0.00101382 
-0.4 0.0010069 
-0.425 0.000979533 
-0.45 0.000887556 
-0.475 0.000626088 
