extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.475 0.000254092 
0.45 0.000453507 
0.425 0.000606999 
0.4 0.000722777 
0.375 0.000808297 
0.35 0.000870114 
0.325 0.000913819 
0.3 0.000944024 
0.275 0.000964424 
0.25 0.000977882 
0.225 0.000986552 
0.2 0.000992005 
0.175 0.000995354 
0.15 0.00099736 
0.125 0.000998534 
0.1 0.000999202 
0.075 0.000999573 
0.05 0.000999769 
0.025 0.000999863 
0 0.00099989 
-0.025 0.000999863 
-0.05 0.000999769 
-0.075 0.000999573 
-0.1 0.000999202 
-0.125 0.000998534 
-0.15 0.00099736 
-0.175 0.000995354 
-0.2 0.000992005 
-0.225 0.000986552 
-0.25 0.000977882 
-0.275 0.000964424 
-0.3 0.000944024 
-0.325 0.000913819 
-0.35 0.000870114 
-0.375 0.000808297 
-0.4 0.000722777 
-0.425 0.000606999 
-0.45 0.000453507 
-0.475 0.000254092 
