extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.487468 0.00620815 
0.462412 0.0175664 
0.462413 0.0175663 
0.437365 0.028384 
0.412329 0.0385926 
0.387301 0.0481925 
0.362282 0.0571866 
0.337269 0.0655753 
0.33727 0.0655754 
0.312264 0.073359 
0.287263 0.0805388 
0.287264 0.0805389 
0.262268 0.0871156 
0.237278 0.0930903 
0.212291 0.0984643 
0.187308 0.103239 
0.162328 0.107415 
0.13735 0.110993 
0.112375 0.113974 
0.087401 0.116358 
0.062428 0.118145 
0.037457 0.119337 
0.012485 0.119933 
-0.012485 0.119933 
-0.037457 0.119337 
-0.062428 0.118145 
-0.087401 0.116358 
-0.112375 0.113974 
-0.13735 0.110993 
-0.162328 0.107415 
-0.187308 0.103239 
-0.212291 0.0984643 
-0.237278 0.0930903 
-0.262268 0.0871156 
-0.287263 0.0805388 
-0.287264 0.0805389 
-0.312264 0.073359 
-0.337269 0.0655753 
-0.33727 0.0655754 
-0.362282 0.0571866 
-0.387301 0.0481925 
-0.412329 0.0385926 
-0.412329 0.0385927 
-0.437365 0.028384 
-0.437365 0.028384 
-0.462413 0.0175664 
-0.487468 0.00620815 
-0.487468 0.00620811 
