extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.475 0.0148434 
0.44996 0.0255353 
0.42492 0.0360677 
0.39988 0.0459766 
0.37485 0.0552682 
0.34983 0.0639557 
0.32482 0.0720378 
0.29981 0.0795155 
0.27481 0.0863899 
0.249813 0.0926621 
0.224821 0.0983332 
0.199832 0.103404 
0.174846 0.107877 
0.149863 0.111752 
0.124882 0.115029 
0.099904 0.11771 
0.074926 0.119794 
0.074927 0.119795 
0.04995 0.121283 
0.024975 0.122176 
0 0.122474 
-0.024975 0.122176 
-0.04995 0.121283 
-0.074926 0.119794 
-0.074927 0.119795 
-0.099904 0.11771 
-0.124882 0.115029 
-0.149863 0.111752 
-0.174846 0.107877 
-0.199832 0.103404 
-0.224821 0.0983332 
-0.249813 0.0926621 
-0.27481 0.0863899 
-0.299812 0.0795155 
-0.324819 0.0720378 
-0.349832 0.0639557 
-0.374852 0.0552682 
-0.399879 0.0459766 
-0.424915 0.0360677 
-0.424916 0.0360677 
-0.44996 0.0255353 
-0.475001 0.0148434 
