extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.4875 0.00145844 
0.4625 0.00367827 
0.4375 0.00536682 
0.4125 0.00666695 
0.3875 0.00764451 
0.3625 0.00836466 
0.3375 0.00888507 
0.3125 0.00925368 
0.2875 0.00950953 
0.2625 0.00968357 
0.2375 0.0097996 
0.2125 0.00987541 
0.1875 0.00992395 
0.1625 0.00995442 
0.1375 0.00997317 
0.1125 0.00998447 
0.0875 0.00999112 
0.0625 0.00999491 
0.0375 0.00999693 
0.0125 0.0099978 
-0.0125 0.0099978 
-0.0375 0.00999693 
-0.0625 0.00999491 
-0.0875 0.00999112 
-0.1125 0.00998447 
-0.1375 0.00997317 
-0.1625 0.00995442 
-0.1875 0.00992395 
-0.2125 0.00987541 
-0.2375 0.0097996 
-0.2625 0.00968357 
-0.2875 0.00950953 
-0.3125 0.00925368 
-0.3375 0.00888507 
-0.3625 0.00836466 
-0.3875 0.00764451 
-0.4125 0.00666695 
-0.4375 0.00536682 
-0.4625 0.00367827 
-0.4875 0.00145844 
-0.4875 0.00145285 
