extracted simu data (only one row of particles
file structure:
  y  |  U (is v_x)  

0.475 0.00259709 
0.45 0.00451883 
0.425 0.00601656 
0.4 0.00715556 
0.375 0.00800413 
0.35 0.00862448 
0.325 0.00906902 
0.3 0.00938129 
0.275 0.00959629 
0.25 0.00974137 
0.225 0.00983734 
0.2 0.00989955 
0.175 0.0099391 
0.15 0.00996373 
0.125 0.00997877 
0.1 0.00998776 
0.075 0.00999299 
0.05 0.0099959 
0.025 0.00999736 
0 0.00999779 
-0.025 0.00999736 
-0.05 0.0099959 
-0.075 0.00999299 
-0.1 0.00998776 
-0.125 0.00997877 
-0.15 0.00996373 
-0.175 0.0099391 
-0.2 0.00989955 
-0.225 0.00983734 
-0.25 0.00974137 
-0.275 0.00959629 
-0.3 0.00938129 
-0.325 0.00906902 
-0.35 0.00862448 
-0.375 0.00800413 
-0.4 0.00715556 
-0.425 0.00601656 
-0.45 0.00451883 
-0.475 0.00259709 
