extracted simu data (only one row of particles
file structure:
  y  |  T  

0.98 0.654508 
0.96 0.373587 
0.94 0.185747 
0.92 0.0807593 
0.9 0.0308913 
0.88 0.0104635 
0.86 0.0031574 
0.84 0.00085321 
0.82 0.000207337 
0.8 4.54534e-05 
0.78 9.00861e-06 
0.76 1.61598e-06 
0.74 2.62382e-07 
0.72 3.8521e-08 
0.7 5.10195e-09 
0.68 6.0735e-10 
0.66 6.4629e-11 
0.64 6.10009e-12 
0.62 5.05189e-13 
0.6 3.61513e-14 
0.58 2.18612e-15 
0.56 1.07982e-16 
0.54 4.11829e-18 
0.52 1.08956e-19 
0.5 3.04143e-21 
0.48 1.08956e-19 
0.46 4.11829e-18 
0.44 1.07982e-16 
0.42 2.18612e-15 
0.4 3.61513e-14 
0.38 5.05189e-13 
0.36 6.10009e-12 
0.34 6.4629e-11 
0.32 6.0735e-10 
0.3 5.10195e-09 
0.28 3.8521e-08 
0.26 2.62382e-07 
0.24 1.61598e-06 
0.22 9.00861e-06 
0.2 4.54534e-05 
0.18 0.000207337 
0.16 0.00085321 
0.14 0.0031574 
0.12 0.0104635 
0.1 0.0308913 
0.08 0.0807593 
0.06 0.185747 
0.04 0.373587 
0.02 0.654508 
