extracted simu data (only one row of particles
file structure:
  y  |  T  

0.99375 0.855707 
0.9875 0.752186 
0.98125 0.647977 
0.975 0.550597 
0.96875 0.461258 
0.9625 0.380782 
0.95625 0.309729 
0.95 0.248193 
0.94375 0.19591 
0.9375 0.152322 
0.93125 0.116654 
0.925 0.0879988 
0.91875 0.0653903 
0.9125 0.0478676 
0.90625 0.0345227 
0.9 0.0245329 
0.89375 0.0171804 
0.8875 0.0118581 
0.88125 0.00806797 
0.875 0.00541185 
0.86875 0.00357958 
0.8625 0.00233504 
0.85625 0.00150248 
0.85 0.000953775 
0.84375 0.000597424 
0.8375 0.00036931 
0.83125 0.000225344 
0.825 0.000135743 
0.81875 8.0738e-05 
0.8125 4.74237e-05 
0.80625 2.7513e-05 
0.8 1.57679e-05 
0.79375 8.92819e-06 
0.7875 4.99542e-06 
0.78125 2.76222e-06 
0.775 1.50967e-06 
0.76875 8.15646e-07 
0.7625 4.35681e-07 
0.75625 2.3011e-07 
0.75 1.20186e-07 
0.74375 6.20833e-08 
0.7375 3.17206e-08 
0.73125 1.60324e-08 
0.725 8.01659e-09 
0.71875 3.96603e-09 
0.7125 1.94149e-09 
0.70625 9.40514e-10 
0.7 4.50901e-10 
0.69375 2.13952e-10 
0.6875 1.00485e-10 
0.68125 4.67162e-11 
0.675 2.15002e-11 
0.66875 9.79606e-12 
0.6625 4.41896e-12 
0.65625 1.97365e-12 
0.65 8.72823e-13 
0.64375 3.82213e-13 
0.6375 1.6574e-13 
0.63125 7.11715e-14 
0.625 3.02663e-14 
0.61875 1.27468e-14 
0.6125 5.31667e-15 
0.60625 2.19629e-15 
0.6 8.98582e-16 
0.59375 3.64127e-16 
0.5875 1.46144e-16 
0.58125 5.80958e-17 
0.575 2.28744e-17 
0.56875 8.92064e-18 
0.5625 3.44576e-18 
0.55625 1.3183e-18 
0.55 4.99553e-19 
0.54375 1.87492e-19 
0.5375 6.96969e-20 
0.53125 2.5661e-20 
0.525 9.35881e-21 
0.51875 3.38512e-21 
0.5125 1.22643e-21 
0.50625 4.80177e-22 
0.5 3.00263e-22 
0.49375 4.80177e-22 
0.4875 1.22643e-21 
0.48125 3.38512e-21 
0.475 9.35881e-21 
0.46875 2.5661e-20 
0.4625 6.96969e-20 
0.45625 1.87492e-19 
0.45 4.99553e-19 
0.44375 1.3183e-18 
0.4375 3.44576e-18 
0.43125 8.92064e-18 
0.425 2.28744e-17 
0.41875 5.80958e-17 
0.4125 1.46144e-16 
0.40625 3.64127e-16 
0.4 8.98582e-16 
0.39375 2.19629e-15 
0.3875 5.31667e-15 
0.38125 1.27468e-14 
0.375 3.02663e-14 
0.36875 7.11715e-14 
0.3625 1.6574e-13 
0.35625 3.82213e-13 
0.35 8.72823e-13 
0.34375 1.97365e-12 
0.3375 4.41896e-12 
0.33125 9.79606e-12 
0.325 2.15002e-11 
0.31875 4.67162e-11 
0.3125 1.00485e-10 
0.30625 2.13952e-10 
0.3 4.50901e-10 
0.29375 9.40514e-10 
0.2875 1.94149e-09 
0.28125 3.96603e-09 
0.275 8.01659e-09 
0.26875 1.60324e-08 
0.2625 3.17206e-08 
0.25625 6.20833e-08 
0.25 1.20186e-07 
0.24375 2.3011e-07 
0.2375 4.35681e-07 
0.23125 8.15646e-07 
0.225 1.50967e-06 
0.21875 2.76222e-06 
0.2125 4.99542e-06 
0.20625 8.92819e-06 
0.2 1.57679e-05 
0.19375 2.7513e-05 
0.1875 4.74237e-05 
0.18125 8.0738e-05 
0.175 0.000135743 
0.16875 0.000225344 
0.1625 0.00036931 
0.15625 0.000597424 
0.15 0.000953775 
0.14375 0.00150248 
0.1375 0.00233504 
0.13125 0.00357958 
0.125 0.00541185 
0.11875 0.00806797 
0.1125 0.0118581 
0.10625 0.0171804 
0.1 0.0245329 
0.09375 0.0345227 
0.0875 0.0478676 
0.08125 0.0653903 
0.075 0.0879988 
0.06875 0.116654 
0.0625 0.152322 
0.05625 0.19591 
0.05 0.248193 
0.04375 0.309729 
0.0375 0.380782 
0.03125 0.461258 
0.025 0.550597 
0.01875 0.647977 
0.0125 0.752186 
0.00625 0.855707 
