extracted simu data (only one row of particles
file structure:
  y  |  T  

0.98 0.626803 
0.96 0.350402 
0.94 0.177695 
0.92 0.0820742 
0.9 0.0348056 
0.88 0.0135778 
0.86 0.00488471 
0.84 0.00161747 
0.82 0.000490268 
0.8 0.000134969 
0.78 3.34384e-05 
0.76 7.38637e-06 
0.74 1.44153e-06 
0.72 2.46258e-07 
0.7 3.6437e-08 
0.68 4.60136e-09 
0.66 4.84532e-10 
0.64 4.09358e-11 
0.62 2.59486e-12 
0.6 1.08737e-13 
0.58 2.22631e-15 
0.56 8.34843e-44 
0.54 1.95463e-73 
0.52 1.18219e-103 
0.5 0 
0.48 0 
0.46 7.00865e-75 
0.44 8.37946e-45 
0.42 2.22631e-15 
0.4 1.08737e-13 
0.38 2.59486e-12 
0.36 4.09358e-11 
0.34 4.84532e-10 
0.32 4.60136e-09 
0.3 3.6437e-08 
0.28 2.46258e-07 
0.26 1.44153e-06 
0.24 7.38637e-06 
0.22 3.34384e-05 
0.2 0.000134969 
0.18 0.000490268 
0.16 0.00161747 
0.14 0.00488471 
0.12 0.0135778 
0.1 0.0348056 
0.08 0.0820742 
0.06 0.177695 
0.04 0.350402 
0.02 0.626803 
